Poem,Author
"['\r\n                        Cupid laid by his brand and fell asleep,', ""A maid of Dian's this advantage found,"", 'And his love-kindling fire did quickly steep', 'In a cold valley-fountain of that ground;', 'Which borrowed from this holy fire of Love', 'A dateless lively heat still to endure,', 'And grew a seeting bath, which yet men prove', 'Against strange maladies a sovereign cure.', ""But at my mistress' eye Love's brand new-fired,"", 'The boy for trial needs would touch my breast;', 'I, sick withal, the help of bath desired,', 'And thither hied a sad distempered guest,', '    But found no cure. The bath for my help lies', ""    Where Cupid got new fire—my mistress' eyes. \r\n                        "", '\n']",Shakespeare
"['\r\n                        IT was a lover and his lass, ', '\xa0\xa0\xa0With a hey, and a ho, and a hey nonino, ', ""That o'er the green corn-field did pass, "", '\xa0\xa0\xa0In the spring time, the only pretty ring time, ', 'When birds do sing, hey ding a ding, ding; ', 'Sweet lovers love the spring. ', 'Between the acres of the rye, ', '\xa0\xa0\xa0With a hey, and a ho, and a hey nonino, ', 'These pretty country folks would lie, ', '\xa0\xa0\xa0In the spring time, the only pretty ring time, ', 'When birds do sing, hey ding a ding, ding; ', 'Sweet lovers love the spring. ', 'This carol they began that hour, ', '\xa0\xa0\xa0With a hey, and a ho, and a hey nonino, ', 'How that life was but a flower ', '\xa0\xa0\xa0In the spring time, the only pretty ring time, ', 'When birds do sing, hey ding a ding, ding; ', 'Sweet lovers love the spring. ', 'And, therefore, take the present time ', '\xa0\xa0\xa0With a hey, and a ho, and a hey nonino, ', 'For love is crown&graved with the prime ', 'In the spring time, the only pretty ring time, ', 'When birds do sing, hey ding a ding, ding; ', 'Sweet lovers love the spring. \r\n                        ', '\n']",Shakespeare
"['Undertone - course, not at all', ' goodbye forever to your threshold.', ' Do not stir hail, not all vstrepenetsya', ' the voice muted. With God!', ' On the stairs, outside, into the darkness ...', ' Before you - the outskirts of the smoke,', ' sleepers, evening cool.', "" I'm not a barrier to your eyes,"", ' According to your sad - not a barrier.', ' And it - it does not see.', ' Tufts of grass ... and larch decoration ...', ' You do not delight in, I was not in the grace', ' bezlyudnoe, available space.']",Brodsky
"['its Northwest wind rises above', ' Remand, purple, crimson, scarlet', ' Connecticut valley. he has', ' He does not see a tasty promenade', ' chicken around the yard a dilapidated', ' farm, swslïka on scale.', 'On airstream spread-eagle, lonely,', ' everything, what he sees - sloping ridge', ' hills and silver rivers,', ' winding exactly live blade,', ' steel chipping in perekatov,', ' similar to towns beads', 'new England. Fallen to zero', ' thermometers - like Lara in a niche;', ' get cool, curbing fire', ' leaves, church spiers. But for', ' hawk, it is not the church. Higher', ' best intentions parishioners,', 'he soars in the blue ocean, Having closed the beak,', ' and pressing onto the stomach Hocks', ' - the claws in a fist, exactly the fingers -', ' sensing each pen blower', ' from below, flashing back with eye', ' berries, keeping the South,', 'to Rio Grande, the delta, steaming in the crowd', ' beeches, hiding in a strong foam', ' herbs, whose sharp blade,', ' nest, broken shells', ' in scarlet speck, smell, shadow', ' brother or sister.', 'Heart, overgrown with flesh, down, feather, wing,', ' byuscheesya with frequency tremor,', ' exactly scissors flogs,', ' own movable heat,', ' autumn blue, her own', ' increasing due to', 'barely visible to the eye of brown spots,', ' score, sliding over peaks', ' eating; due to the voids in the face', ' child, zamershego window,', ' vapor, came out of the car,', ' woman on the porch.', 'But the upward flow it raises up', ' Higher and higher. The abdominal feathers', ' schyplet cold. looking down,', ' He sees, that darkened the horizon,', ' he sees, as it were the first thirteen', ' states, He sees: of', 'pipe smoke rising. But just a number', ' Pipe tells lonely', ' bird, she rose.', ' Eck has brought me much!', ' He feels mixed with anxiety', ' pride. Perevernuvshys on', 'wing, he falls down. But the resilient layer', ' air it returns to the sky,', ' in colorless expanse of ice.', ' The yellow pupil there evil', ' shine. I.e, a cross between anger', ' with fear. he again', 'overthrown. But as the wall - the ball,', ' as the fall of the sinner - again in faith,', ' it pushes back.', ' Him, which is still hot!', ' The devil knows that. All of the above. In the ionosphere.', ' The astronomically objective hell', 'birds, where no oxygen,', ' where instead of millet - cereals distant', ' stars. That for two-legged heights,', ' contrary to the birds.', ' not cerebellum, but in the sacs of the lungs', ' he guesses: not be saved.', 'And then he screams. from bended, as the hook,', ' beak, similar to the squeal Erinyes,', ' escapes and flies outward', ' mechanical, unbearable sound,', ' began to sound, glaring in aluminum;', ' mechanical, because they do not', ""designed either for one's ears:"", ' human, break away from the birch', ' proteins, yapping fox,', ' little field mice;', ' so molded can not tears', ' to nobody. dogs only', 'bully muzzle. Piercing, squawk', ' worse, nightmarish re-hash', ' diamond, cutting glass,', ' It crosses the sky. And a moment of peace', ' as if startled from a cut.', ' for there, upstairs, warmly', 'burns space, like here, down below,', ' burn black fence arm', ' without gloves. we, shouting ""get out,', ' there!»See the top of the tear', ' hawk, plus cobwebs, sound', ' inherent, small waves,', 'Receding in the sky, Where', ' no echo, where smells apotheosis', ' sound, especially in October.', ' And in this lace, related stars,', ' gleaming, frost-bound,', ' rime, in silver,', 'downy feathers, bird floats in the zenith,', ' in ultramarine. We see through the binoculars away', ' perl, sparkling detail.', ' We hear: something up rings,', ' how to break crockery,', ' Crystal as a family,', 'whose fragments, However, do not hurt, but', ' melt in your palm. And for a moment', ' again discern mugs, eyes,', ' fan, rainbow spot,', ' Ellipses, parentheses, links,', ' ears, hairs -', 'former Privolny pattern pen,', ' map, became a handful of nimble', ' flakes, flying on the hillside.', ' AND, catching their fingers, children', ' runs out into the street in colorful jackets', ' and shouted in English ""Winter, winter!»']",Brodsky
"['In the darkness of the window,', ' on the edge of darkness', ' fabric strip', ' touches flowers.', ' AND, as the mole, from the corner', ' rushes to her', ' sight, sharper, needle than,', ' chlorophyll stronger.', 'Both shudder - but let:', ' becoming one movement,', ' not a threat, and sadness', ' rushes them,', ' and from the bondage of oblivion', ' rustle century return:', ' far from sewing', ' and to the growth in credit.', 'Passion - always ahead,', ' where space is shallower.', ' Behind a spinning wheel in the chest', ' ariadna stučit.', ' And the hole of the needle,', ' pritupiv blade,', ' pouring the river of darkness,', ' swallow it.', 'Lit up the candle', ' or light bulbs.', ' Darkness on the shoulder', ' the, in whom there is no memory,', ' Who, deaf to the past', ' and the coming easy,', ' directs his spirit', ' in the early growth.', 'As the earth, like water', ' Under the heavenly haze,', ' in every sense of always', ' life force with the needle.', ' AND, involuntary enveloped', ' fear, shake, as a mouse,', ' the, in whom you your opinion', ' from corner Wilt.', 'Lit up the candle', ' on the edge of darkness.', ' I want to see', ' the, you feel you', ' in this house night,', ' which hides the window,', ' if the cloth with the stain', ' darkness, cloth.', 'Put the glass on the tablecloth,', ' that he suddenly fell,', ' so that through the table-an idol,', ' like salt, stood out,', ' invisible window,', ' dazzling Way –', ' like pouring wine', ' and heaving breasts.', 'Wind, wind came,', ' rustles window.', ' hiding the barrel', ' per square canvas.', ' And the dread of flowers', ' than in the back', ' on the edge of darkness,', ' like a heart in the chest.', 'natural darkness', ' comes again,', ' as the movement of the mind', ' by reversing the metaphor,', ' and the radiance of the stars', ' brass on axes', ' jamming away sounds', ' across the distance.']",Brodsky
"['Each naked before God,', ' Nag,', ' lick, Nag', ' and needy.', ' Each music', ' Bach,', ' Each of us', ' the God.', ' For eternity - the gods', ' Frailty - the inheritance of the bulls ...', ' Gods will us', ' twilight of the gods.', ' And we must take the risk sky,', ' AND, may be,', ' nevpopad.', ' More than once crucified', ' And then say:', ' disintegration.', ' And we will win from wounds.', ' Then gifts were hungry ...', ' Everyone has their own', ' temple,', ' each his', ' coffin.', ' craziness,voruj,pray!', ' whether alone,as the finger!…', ' ... Like the bulls - whip,', ' eternal bogam', ' cross.']",Brodsky
"['This is - a series of observations. In the corner - the heat.', ' Look left on the trail of things.', ' Water is a glass.', ' man terrible, than his skeleton.', 'Winter evening with wine in anywhere.', ' Veranda under the onslaught of willow.', ' The body rests on his elbow,', ' as the glacier moraine is.', 'After a thousand years because of the curtains clam', ' derive from the tread through the fringe', ' imprint ""good night"" mouth,', ' I did not have to tell someone.']",Brodsky
"['E. Larionov. Brunette. Daughter', ' colonel, and typists. view', ' It resembled a glance at the dial.', ' It sought to help each.', ' Once we lay side by side', ' on the beach and crumbled chocolate.', ' She said, pohlyadev forward,', ' there, where the yacht did not change tack,', ' What if I want to, I can.', ' She loved kissing. Mouth', ' It reminded me of caves Kars.', "" But I'm not scared."", ' shore', ' recollection is, as a trophy,', ' so on some incomprehensible front', ' captured from unknown enemies.', ' Lover of rich women, zapechny Kotofey,', ' D. Kulikov appeared on the horizon,', ' She married her Dima Kulikov.', "" She went to work in the Women's Choir,"", ' and he blows on the license plant.', ' He - a sort of bony Engineer…', ' And I still remember the long corridor', ' and our site Landfill Neu on the commode.', ' Dima - ugly pioneer.', 'Where all delos? where landmark?', ' And how to find today, than', ' their subsistence transformed?', ' In her eyes, she lurked a strange world,', ' even she herself incomprehensible. However,', ' misunderstood and as a wife.', ' alive Kulikov. I lived. It - Live.', ' And this world - where did it go?', ' Or maybe, He wakes them at night?..', ' And I mumble their words.', ' Because of the wall pieces are carried waltz,', ' rain and noise of broken bricks…', 'Oleg wormed. His father', ' He was the coach of fencing. Firmly', ' he knew it all: attacks, an injection.', ' He was not a devourer of hearts.', ' But, as it happens in the world of sports,', ' he scored from an offside position your goal.', ' Offside was night. Mother was ill,', ' and the younger brother yelled from the cradle.', ' Oleg armed with an ax.', ' father went, and the war.', ' But in time the neighbors arrived,', ' and son overcame four.', 'I remember his face and hands,', ' then - the foil with a wooden handle:', ' we fenced in the kitchen sometimes.', ' He got hold of a fake ring,', ' splashing in our communal bathroom…', ' We threw him to school, and then', ' he went to cooking courses,', ' I milled in the ""Arsenal"".', ' He baked pancakes in the Tauride Garden.', ' We had fun carrying the firewood', ' and sold Christmas trees at the station', ' the New Year.', ' Then he, unluckily,', ' in company with some Shantrapa', ' I picked up the store and received a three-year.', ' He toasted his rations at the stake.', ' freed. experienced binge.', ' He worked on the construction of the plant.', ' It was, it seems, Married to a nurse.', ' He began to draw. And if wanted', ' learn from the artist. Mostly', ' His landscapes were like –', ' in still life. Then he flew', ' for tricks with sick leave.', ' And now - it was the silence.', ' For many years I do not see him. himself', ' I was in prison, but there was not met.', "" Now I'm on the loose. But here,"", ' Nowhere do not see him.', ' Forests', ' he is somewhere wandering and breathes the wind.', ' our kitchen, no prison, our Institute', ' We did not take it, and he vanished.', ' As Santa Claus, having had time to change clothes.', ' I hope, that he is alive and unharmed.', ' And it excites interest,', ' the rest of the characters of childhood.', ' but most, than they, irrevocable.', 'T. Zimin, Pretty baby.', ' Mother - engineer, and father - scorekeeper.', ' I, however, they have never seen.', ' It was nevpechatlitelna. Though', ' She married her border pilot.', ' But it was after. And the trouble', ' it has happened before. She has', ' had a kinsman. Some of the regional committee.', ' With machine. And ancestors lived apart.', "" They've been, apparently, his."", ' The car - it was unfamiliar.', ' Well, with this there it all started.', ' she worried. But then', ' things were like on the mend.', ' In the distance loomed gloomy Georgians.', ' But suddenly he got into government house.', ' It - give yourself the counter', ' a large haberdashery.', ' linen, colognes, cloth', ' - she liked the whole atmosphere,', ' Secrets friends and fans.', ' Passers-by stare out the window.', ' Away - House Officers. officers,', ' like birds, with a mass of buttons, around.', 'the pilot, return from heaven,', ' welcomed her prettiness.', ' He made a champagne salute.', ' Marriage. However, in the Air Force', ' terribly respected innocence,', ' built in some absolute.', ' And this kind of scholasticism fault', ' ago, she nearly drowned.', ' I found a bridge too, but came the winter.', ' The channel was covered with a crust of ice.', ' Again, she hurried to the counter.', ' Lashes pubescent fringe.', ' On ashen hair flowed', ' Neon lights chandelier.', ' Spring - and open doors', ' of the flow of customers rages.', ' She stands in the gloomy track', ' looking for clothes, Laurel.', 'YU. Sandul. kindness ferret.', ' mordashka, sharpened to a nose.', ' tell tales. Always - collar.', ' I experienced the delight of the visor.', ' He declaims in the restroom on the,', ' pinning whether a tunic icon.', ' pin up on. exult', ' in general, from all characters and symbols.', ' Honored titles and ranks, to mallow.', ' He liked to call himself ""fizorgom"".', ' But there was staroobrazen, Jacob,', ' He considered his whip abrasions.', ' It was subject to the effects of colds,', ' I sit at home in bad weather.', ' Masturbate Bradis table. Yearning.', ' Knew chemistry and eager to Institute.', ' But after school I thundered in the infantry,', ' in secret underground army.', 'Now it is something drills. They say,', ' on ""Diesel"". Possibly inaccurate.', ' But the accuracy of here, perhaps, to nothing.', ' Sure, specialty and category.', ' But, the main thing, he learns in absentia.', ' And here we lift the fringe.', ' He leafs through the dusk ""Sopromat""', ' and absorbs Marx. By the way,', ' books such as the night time', ' They exude a special flavor.', ' I do not want to consider themselves working.', ' Hunting, generally, the next grade.', 'He aims at dusk to the borders', ' otherwise. metal resistance', ' In a pleasant theory. O yes!', ' He rushes to the engineers, to the figures.', ' He will become to them, through thick and thin.', ' Well, like this… the amount of labor,', ' surplus value… progress…', ' And the whole scholasticism on the market…', ' He climbs through dense forests.', ' married to. But time is running out.', ' And he prefers to party,', ' casual dating, address.', '""Our future - smile - Engineer"".', ' He recalls a gloomy mass', ' and looks out the window past the girls.', ' He is alone to your own style.', ' He changes his own class.', ' May be, I go to far. But', ' Using class rental', ' dangerous male perfidy.', ' - Sin youth. Blood, breakwater, hot. –', ' I remember even sincere poster', ' about casual acquaintance.', ' But there is no clinic, no doctor', ' these underclass, to', ' protect themselves against inflammation.', ' And if we are not the era of wife,', ' something that did not pass this microbe', ' of it - in other generations.', ' This relay is not needed.', 'BUT. Chegodaev, Shorty, vrun.', ' Tongue, to glasses suspended. grimace', ' doubts. Thinker. adorable', ' touch the most intimate strings', ' in the hearts of teachers - out of class.', ' How to buy. And like obnazhal', ' our vices via the wall', ' Freudian lust (border', ' between private and shared not hold).', ' Parents, shining gray,', ' milked the famous table.', ' Husband daughter and father-creator', ' in the living room adorned the wall', ' and a race overseen childhood', ' it bachkami, Patlakh the fords.', ' As the days passed, and the boy drank quite', ' polar greatness, whose neighborhood', ' eventually bore fruit.', 'but strange. And yet, beard', ' She gained the upper hand (pale healer', ' Russian girl-students stepped into the darkness):', ' they took possession once and for all', ' Romance of large newspaper letters.', ' He served in the historic. Him', ' bad luck. He escaped from the networks,', ' all arranged military offices,', ' I huddled in the corner. And in his mind', ' zamelteshila mass areas', ' knowledge: Bionics and Atom,', ' Astrophysics. In a circle', "" one's friends, the same wise men,"", ' He thought about each option:', ' which one is more effective with persons.', ' He filed a Mountain. But in the end', ' He dived into the Road, and the treble', ' suddenly sounded hoarseness:', ' “It is the basis of the road… such', ' their role in civilization… are not gods,', ' and their men… We should grow…”', ' more words, what items, and words', ' there for all. And for the road.', ' And he hastened to say all of them.', ' One, with an increase in the sixty-meter,', ' without privacy, in the tumult of steam', ' what could he attract attention?', ' He made a vow, read stories,', ' celibacy - just, on fire.', ' However, the patroness of meetings', ' Venus is waiting around the corner', ' in their tiny subsistence –', ' star, no different night', ' by noon. Marriage and diploma.', ' distribution. In the queue to the cashier', ' embrace new relatives: daughter!', 'Tajik endless hills.', ' Machines are digging the ground. Chegodaev', ' hand with nepovzroslevshego person', ' wipes sweat shade of mercuric chloride,', ' honor some swarthy scoundrels.', ' words left. Penetrate to the end', ' in them the essence of it - and get out of the', ' their way - could not. Stuck on the.', ' Highway gone in a brown haze', ' both ends. All in sweat,', ' he wanders at night naked on the parquet', ' not in his own apartment, and in the corner', ' large plot, which - Round,', ' with an unclear idea of \u200b\u200bgreen leaves.', ' The woman hrapit… of Lords, even cry…', ' He goes to the table and, overhang of the corner,', ' creaking in the shower and swaggered in letters,', ' weaves a web of. lone weaver.', 'Antsiferova. Jeanne. placed', ' It was a miracle. The Rubens taste.', ' The name and the name always', ' hiding officer wife.', ' Cadet submarine was in the course of', ' Dutch school of painting. Yes', ' God forgive me, but still like vesch', ' is pioneering speech voice!', ' And so we have expressed their delight:', ' ""You take it all in his hands, maeshsya thing!»', ' and ""Those legs on my shoulders would!»', ' …Now around it - Vladivostok,', 'raw hills, bay, clouds.', ' Medvedica, staring into the bedroom,', ' and fir, replacing spruce.', ' One-sixth of really big.', ' Lying in bed, as a compass in the drawing instruments,', ' She looks at the naval greatcoat,', ' and buttons, glittering in a row,', ' resemble lights quarter', ' and childhood and, moment later,', ' huge, the black, wet Leningrad,', ' where right from the prom', ' He stepped on the ship joking.', 'lucky? Yes. Cutting and sewing.', ' Working in club. Raids on burning', ' autumn hills. wash before dark.', ' And her memories', ' merge more and more with this:', ' from his twenty-eight, she', ' twelve years has been living away', ' all memory objects, with her husband.', ' The submarine comes up from the depths.', ' The village is asleep. And on the edge of the earth', ' slams the door. And it has done already', ' distance from the consequences of the reasons.', 'Bomber moans in the clouds.', ' Frogs chant breaks out of the ditch.', ' Tinkling crystal slide', ' during each handstands.', ' And the music flows from Okinawa,', ' fashion magazine moving pages.', 'Albert Frolov, silence lover.', ' Mother stamp pounded envelopes', ' at the post office. As for his father,', ' he fell for independence Chukhnov,', ' having to extend the name of Albert,', "" but not having seen Albert's face."", 'The son of a genius raised in the silence.', ' I remember that a lump on top:', ' He crawled under the table to zoology,', ' ascertaining the absence of the soul', ' in conjunction raspatronennoy frog.', ' Which later provided space', 'the flight of his thoughts, what is the', ' he gave himself up to the institute,', ' where he joined in the fight with the archangel.', ' And so, how sogreshivshiy cherub,', ' he fell to the ground from the clouds. And then it', ' he found at hand pipe.', 'Sound - a form of silence Continued,', ' likeness developing tapes.', ' soliruya, He mows the pupils', ' at the mouth, where twinkling, lit.', ' sofitami,  - long applause', ' Do not blow them out there - fireflies.', 'But what happened in the evening, and in the afternoon –', ' day star is not visible. Even from a well.', ' wife left, not to wash socks.', ' Old mother cared for him.', ' He began to drink, subsequently - using drugs', ' God knows what. Probably, with longing,', 'with despair - but the devil will disassemble.', ' I am in this, Unfortunately, not versed.', ' There is another, it seems, scale:', ' when you play, see ahead', ' eight strokes - ampoules Well, as a beacon of', ' sixteen illuminated… mirrors', 'palaces of culture, where its composition', ' I played, vbirali hmuro and polite', ' features, eczema moth. But', ' then, re-charter', ' his decomposition kolektiva,', ' fired. AND, squeezing: ""shit!»', 'it, like fading ""la"",', ' not having made a further route', ' idle wealth hards,', ' as the line, that fit on the field,', ' rather - bringing to the absolute', ' dismissal of the idea, disappeared.', 'On January, in the dead of night,', ' my boat moored in Sochi.', ' thirsty. I moved randomly', ' the alleys, Go away', ' from the port to the center, and in the heat of the night', ' I came to a restaurant service ""Cascade"".', 'It was New Year. counterfeit needles', ' hung from trees. Along the tables circled', ' Georgian rabble, singing ""Tbilisi"".', ' Everywhere there is life, and then I had a.', ' Hearing solo, I tensed', ' and raised above the bottles face.', '""Cascade"" was full. miraculously finding', ' extending to the platform, in the chaos of the clang', ' and smells I hunched back', ' He said: ""Albert"" and touched the sleeve;', ' ', 'и страшная', ', monstrous mask', ' Turnover slowly to me.', 'solid scabs. dried and', ' nabryakshye. Only matted strands,', ' pristine scabs, and look', ' They belonged to a schoolboy, in my,', ' I his, kosivshemu notebook', ' twelve years ago,.', '""How did you get here in the off-season?»', ' Dry skin, wrinkled as', ' crust. Pupils - like proteins from the hollow.', ' ""And you yourself like?» “I, you see, Jason.', ' Jason, zastyarvshy the winter in Colchis.', ' My eczema requires heat…”', 'Then we went. rare lights,', ' Heaven prevents Boulevard', ' merger. Quarterly - Ossetians.', ' And even here, keep a low profile', ' my guide, man with case.', ' ""Are you here alone?"" ""Yes, I think, one"".', 'Jason? Unlikely. Job, heaven', ' nothing to reproach, just', ' merging with the night on his stomach', ' and death… The coastline,', ' and pungent smell of seaweed with Ost,', ' invisible palms rustling - and here', 'all suddenly swung. And then in the darkness', ' for a moment flashed something on the dock.', ' And the sound floated, weaving in silence,', ' after retreating feed.', 'And I heard, full of sadness,', ' ""Sky-high the moon"".']",Brodsky
"['These verses about, they lie on the ground stones,', ' simple stones, half of them do not see the sun,', ' simple gray stones,', ' simple stones,- stones without epitaphs.', 'stones, taking our pace,', ' white under the sun, and at night the stones', ' like a large fish-eye,', ' stones, peremalыvayuschye our progress,-', ' eternal eternal millstone bread.', 'stones, taking our pace,', ' like black water - gray stones,', ' stones, decorating the neck of a suicide,', ' gems, polished prudence.', 'stones, which will write: «Freedom».', ' stones, which once paved the way.', ' stones, from which to build a prison,', ' or stones, which will remain fixed,', ' like stones, does not evoke associations.', 'So', ' lie on the ground stones,', ' simple stones, resembling heads,', ' simple stones,- stones without epitaphs.']",Brodsky
"['\r\n                             The expense of spirit in a waste of shame', '     Is lust in action; and till action, lust', '     Is perjured, murderous, bloody, full of blame,', '     Savage, extreme, rude, cruel, not to trust,', ""     Enjoy'd no sooner but despised straight,"", '     Past reason hunted, and no sooner had', ""     Past reason hated, as a swallow'd bait"", '     On purpose laid to make the taker mad;', '     Mad in pursuit and in possession so;', '     Had, having, and in quest to have, extreme;', '     A bliss in proof, and proved, a very woe;', '     Before, a joy proposed; behind, a dream.', '     All this the world well knows; yet none knows well', '     To shun the heaven that leads men to this hell. \r\n                        ', '\n']",Shakespeare
"['He was skinny, shabby, red,', ' Mud covered his garbage dumps.', ' He wandered along the rusty roofs,', ' A night sitting in the cellars.', 'He was an old and very weak,', ' A cold sometimes cruel.', ' He froze feet,', ' Similarly,, how to get cool feet.', 'But it never warmed,', ' Caressed and fed.', ' Because he was not spared.', ' Because it did not like.', 'Because the teeth fall out.', ' Because abscesses in the ears.', ' Why do not like ugly.', ' Someone has to love the ugly.']",Brodsky
"[""\r\n                        How oft, when thou, my music, music play'st,"", 'Upon that blessèd wood whose motion sounds', ""With thy sweet fingers when thou gently sway'st"", 'The wiry concord that mine ear confounds,', 'Do I envy those jacks that nimble leap', 'To kiss the tender inward of thy hand,', 'Whilst my poor lips, which should that harvest reap,', ""At the wood's boldness by thee blushing stand!"", 'To be so tickled, they would change their state', 'And situation with those dancing chips', ""O'er whom thy fingers walk with gentle gait,"", 'Making dead wood more blest than living lips.', '    Since saucy jacks so happy are in this,', '    Give them thy fingers, me thy lips to kiss. \r\n                        ', '\n']",Shakespeare
"['All the alien in the house a new tenant.', ' A hasty glance slides in all subjects,', ' whose shadows so no stranger to the face,', ' themselves too suffer this.', ' But the house does not want to be empty.', ' AND, as if for the lack of that courage,', ' Castle, unable to recognize,', ' One resists the darkness.', ' Yes, No similarity between the present and the,', ' here who have made cabinets and desks, and thought,', ' that no longer would leave these walls;', ' but I had to leave, He is gone and died.', ' Nothing really they can not connect:', ' facial features, character, nadlomom.', ' But there is a thread between them,,', ' commonly referred to as home.']",Brodsky
"['\r\n                        ? or John Fletcher. ', 'ORPHEUS with his lute made trees ', 'And the mountain tops that freeze ', '\xa0\xa0\xa0Bow themselves when he did sing: ', 'To his music plants and flowers ', 'Ever sprung; as sun and showers ', '\xa0\xa0\xa0There had made a lasting spring. ', 'Every thing that heard him play, ', 'Even the billows of the sea, ', '\xa0\xa0\xa0Hung their heads and then lay by. ', 'In sweet music is such art, ', '\xa0\xa0\xa0Killing care and grief of heart ', '\xa0\xa0\xa0Fall asleep, or hearing, die. \r\n                        ', '\n']",Shakespeare
"['Someday, chatty wise guy,', ' Love will take place among winter,', ' When in Moscow, from the narrow streets', ' I will go down sometime mad,', 'on a noisy home of the Baltic', ' among the worst poluvesny', ' protarahtyat polubotynky', ' stairs poluvoyny,', 'and the door will open. About memory,', ' look, as the street is empty,', ' one asphalt under the heels,', ' tilt Foundry Bridge.', 'And in the twilight of the blue', ' mixing equal bad weather', ' God forbid we meet someone,', ' terrible is pedestrian.', 'And with a cry choked back', ' you just throw, vosled', ' his footsteps and screaming in ceremonial,', ' houses are, no parade,', 'yes this city there? Not this one,', ' is not caught, not kill,', ' go crazy, reduce to a poet,', ' warmly, betrayal, shelter.', 'Poluaprel and poluslyakot,', ' love, love polupitya,', ' and lonely, the same', ' over the half-truths of life,', ""well, 's change, overeat,"", ' will survive, polwdışa,', ' about, never the, nor it', ' not reconciled soul,', 'and all, that less lonely,', ' recalls yellow ice,', ' and sky of Gulf of Finland', ' Nevsky suburb floats.', 'It is not vain, careless,', ' lover abandoned, dude,', ' forgotten boredom coasts', ' and the measure of time - the season,', 'which will not be with a man,', ' Not all sins, things are not all,', ' noise behind the dunes and snow,', ' noisy road behind the dunes,', ""what's the difference, and the difference,"", ' and here - the blue bus,', ' looking out the window, and irrevocability', ' All goes quiet for you.', 'Nothing stands regrets,', ' love, love, but all the same, –', ' dating, love and defeats', ' we rearrange not given.', 'And Spring. to step back', ' through the black and white courtyards,', ' where iron fence', ' fall light trunks', 'and life passes in the alleys,', ' as an impoverished family.', ' Flies on urns zinc', ' and sticky snow nothingness.', 'Please unlit staircase', ' and dry your eyes again', ' look, look, as a perturbation', ' All drives Boreas water reverse.', 'Where are going? Here are a number of window,', ' lamp, front door, cosiness,', ' love and death, familiar words,', ' and somewhere in there you shelter.']",Brodsky
"['\r\n                             So is it not with me as with that Muse', ""     Stirr'd by a painted beauty to his verse,"", '     Who heaven itself for ornament doth use', '     And every fair with his fair doth rehearse', '     Making a couplement of proud compare,', ""     With sun and moon, with earth and sea's rich gems,"", ""     With April's first-born flowers, and all things rare"", ""     That heaven's air in this huge rondure hems."", ""     O' let me, true in love, but truly write,"", '     And then believe me, my love is as fair', ""     As any mother's child, though not so bright"", ""     As those gold candles fix'd in heaven's air:"", '     Let them say more than like of hearsay well;', '     I will not praise that purpose not to sell. \r\n                        ', '\n']",Shakespeare
"[""Son! If I'm not dead, it is because"", ' what, sparing ligaments and membranes,', ' me screaming all children: child', ' one is afraid to go into the darkness.', ""Son! If I'm not dead, it is because"", ' that ardent youth - I am young', ' with its living bodies cold', ' so distant Palestine, not in the mind.', ""Son! If I'm not dead, it is because"", ' that the adult does not call itself the rescue.', "" I'm too proud, that for, that God"", ' instructed, take yourself.', ""Son! If I'm not dead, it is because"", ' that the proximity of death lies not humiliate:', "" I'm too old. But I do not see near"", ' there deliverance in my heart.', ""Son! If I'm not dead, it is because"", ' what do I know, What the hell you do not meet.', ' the Apostle, whose will not argue,', ' Paradise will not allow to place the plague.', 'Son! I am immortal. Not as optimistic.', ' is immortal, like an animal. that stricter.', ' All the wolves for the hunter - like.', ' And death - negligible physiognomist.', 'Sin asks destroyed orbits!', "" But I'd rather curves in reproach,"", ' than you have unrecognized during his lifetime.', ' Hear me, Your father killed.']",Brodsky
